[2026-06-08 09:08:57] [main/INFO] [CustomSkinLoader Core]: "version.json": jar:file:/G:/PBlossom-%e8%8a%b1%e6%a2%a6%e5%ae%a2%e6%88%b7%e7%ab%af/.minecraft/versions/PBlossom/PBlossom.jar!/version.json
[2026-06-08 09:08:57] [main/INFO] [CustomSkinLoader Core]: MinecraftVersion: {name='1.21.11', world_version='4671', protocol_version='774'}
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_355, mixin: customskinloader.mixin.MixinGuiPlayerTabOverlay, result: true
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_760, mixin: customskinloader.mixin.MixinIImageBuffer, result: false
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_3298, mixin: customskinloader.mixin.MixinIResource, result: true
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_3300, mixin: customskinloader.mixin.MixinIResourceManager$V1, result: true
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_972, mixin: customskinloader.mixin.MixinLayerCape$V1, result: false
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_972, mixin: customskinloader.mixin.MixinLayerCape$V2, result: true
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_310, mixin: customskinloader.mixin.MixinMinecraft, result: true
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1011, mixin: customskinloader.mixin.MixinNativeImage, result: true
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1007, mixin: customskinloader.mixin.MixinRenderPlayer, result: false
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_2960, mixin: customskinloader.mixin.MixinResourceLocation$V1, result: false
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_2960, mixin: customskinloader.mixin.MixinResourceLocation$V2, result: true
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1071$1, mixin: customskinloader.mixin.MixinSkinManager$1, result: true
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1071$class_8687, mixin: customskinloader.mixin.MixinSkinManager$TextureCache, result: true
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1071, mixin: customskinloader.mixin.MixinSkinManager$V1, result: true
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1071, mixin: customskinloader.mixin.MixinSkinManager$V2, result: false
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1071, mixin: customskinloader.mixin.MixinSkinManager$V3, result: true
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_10538, mixin: customskinloader.mixin.MixinSkinTextureDownloader$V1, result: false
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_10538, mixin: customskinloader.mixin.MixinSkinTextureDownloader$V2, result: true
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_10538, mixin: customskinloader.mixin.MixinSkinTextureDownloader$V3, result: true
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1046, mixin: customskinloader.mixin.MixinThreadDownloadImageData$V1, result: false
[2026-06-08 09:08:58] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1046, mixin: customskinloader.mixin.MixinThreadDownloadImageData$V2, result: false
